"id","sequence","name","description","tax_group_id/id","type_tax_use","amount_type","amount","account_id/id","refund_account_id/id","price_include","children_tax_ids/id","tag_ids/id","chart_template_id/id"
"tax_tmpl_PO-EU-SIP",105,"Prod.Osl.- sastavljanje/postavljanje dobara u EU","EU-SIP","tax_group_osl","sale","percent",0,,,"FALSE",,"tax_tag_I_6","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_PO-EU-PS",106,"Prod.Osl.- isporuka prijevoznih sredstava unutar EU","EU-PS","tax_group_osl","sale","percent",0,,,"FALSE",,"tax_tag_I_7","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_K-DA-OTI",107,"Prod.Osl.- tuzemne isporuke ","K-DA-OTI","tax_group_osl","sale","percent",0,,,"FALSE",,"tax_tag_I_8","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_K-INO-IZ",108,"Prodaja - izvozne isporuke","K-INO-IZ","tax_group_osl","sale","percent",0,,,"FALSE",,"tax_tag_I_9","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_K-DA-OS",109,"Prodaja - ostala oslobođenja ","K-DA-OS","tax_group_osl","sale","percent",0,,,"FALSE",,"tax_tag_I_10","l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_NEOP",1000,"Nabava ne podliježe oporezivanju","NEOP",,"purchase","fixed",0,,,"FALSE",,,"l10n_hr_coa_rrif_2015_template"
"tax_tmpl_IZVAN-PDV",900,"Nabva – društvo nije u sustavu PDV-a","IZVAN-PDV",,"purchase","fixed",0,,,"FALSE",,,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_PPDV25D",10,"PPDV 25% na dobra","PPDV 25% D","tax_group_ppdv25","purchase","percent",25,"kp_rrif_140012","kp_rrif_140012","FALSE",,"tax_tag_III_3","l10n_hr_coa_rrif_2015_template"
