"id","sequence","name","description","tax_group_id/id","type_tax_use","amount_type","amount","account_id/id","refund_account_id/id","price_include","children_tax_ids/id","tag_ids/id","chart_template_id/id"
,,,,,,,,,,,,,
"tax_tmpl_D-EU-P13",100,"D-EU Pretporez 13% roba","D-EU-P 13%",,"none","percent",13,"kp_rrif_14021","kp_rrif_14021","FALSE",,"tax_tag_III_6","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-EU-O13",100,"D-EU Obveza 13% roba","D-EU-O 13%",,"none","percent",-13,"kp_rrif_24021","kp_rrif_24021","FALSE",,"tax_tag_II_6","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_EU13D",55,"EU Dobra 13%","EU 13% D",,"purchase","group",,,,"FALSE","tax_tmpl_D-EU-P13,tax_tmpl_D-EU-O13",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-EU-P25",100,"D-EU Pretporez 25% roba","D-EU-P 25%",,"none","percent",25,"kp_rrif_14022","kp_rrif_14022","FALSE",,"tax_tag_III_7","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-EU-O25",100,"D-EU Obveza 25% roba","D-EU-O 25%",,"none","percent",-25,"kp_rrif_24022","kp_rrif_24022","FALSE",,"tax_tag_II_7","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_EU25D",15,"EU Dobra 25%","EU 25% D",,"purchase","group",,,,"FALSE","tax_tmpl_D-EU-P25,tax_tmpl_D-EU-O25",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-EU-P5",100,"U-EU Pretporez 5% usluge","U-EU-P 5%",,"none","percent",5,"kp_rrif_14030","kp_rrif_14030","FALSE",,"tax_tag_III_8","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-EU-O5",100,"U-EU Obveza 5% usluge","U-EU-O 5%",,"none","percent",-5,"kp_rrif_24030","kp_rrif_24030","FALSE",,"tax_tag_II_8","l10n_hr_coa_rrif_2015_template"
