id,code,name,description
tax_exempt_VATEX_EU_143_1FA,VATEX-EU-143-1FA,"Exempt based on article 143, section 1 (fa) of Council Directive 2006/112/EC","""The importation of goods by the European Community, the European Atomic Energy Community, the European Central Bank or the European Investment Bank, or by the bodies set up by the Communities to which the Protocol of 8 April 1965 on the privileges and immunities of the European Communities applies, within the limits and under the conditions of that Protocol and the agreements for its implementation or the headquarters agreements, in so far as it does not lead to distortion of competition"""
tax_exempt_VATEX_EU_143_1G,VATEX-EU-143-1G,"Exempt based on article 143, section 1 (g) of Council Directive 2006/112/EC",""" The importation of goods by international bodies, other than those referred to in point (fa), recognised as such by the public authorities of the host Member State, or by members of such bodies, within the limits and under the conditions laid down by the international conventions establishing the bodies or by headquarters agreements"""
tax_exempt_VATEX_EU_143_1H,VATEX-EU-143-1H,"Exempt based on article 143, section 1 (h) of Council Directive 2006/112/EC","The importation of goods, into Member States party to the North Atlantic Treaty, by the armed forces of other States party to that Treaty for the use of those forces or the civilian staff accompanying them or for supplying their messes or canteens where such forces take part in the common defence effort."
tax_exempt_VATEX_EU_143_1I,VATEX-EU-143-1I,"Exempt based on article 143, section 1 (i) of Council Directive 2006/112/EC","The importation of goods by the armed forces of the United Kingdom stationed in the island of Cyprus pursuant to the Treaty of Establishment concerning the Republic of Cyprus, dated 16 August 1960, which are for the use of those forces or the civilian staff accompanying them or for supplying their messes or canteens."
tax_exempt_VATEX_EU_143_1J,VATEX-EU-143-1J,"Exempt based on article 143, section 1 (j) of Council Directive 2006/112/EC","The importation into ports, by sea fishing undertakings, of their catches, unprocessed or after undergoing preservation for marketing but before being supplied."
tax_exempt_VATEX_EU_143_1K,VATEX-EU-143-1K,"Exempt based on article 143, section 1 (k) of Council Directive 2006/112/EC",The importation of gold by central banks.
tax_exempt_VATEX_EU_143_1L,VATEX-EU-143-1L,"Exempt based on article 143, section 1 (l) of Council Directive 2006/112/EC","The importation of gas through a natural gas system or any network connected to such a system or fed in from a vessel transporting gas into a natural gas system or any upstream pipeline network, of electricity or of heat or cooling energy through heating or cooling networks."
tax_exempt_VATEX_EU_148,VATEX-EU-148,Exempt based on article 148 of Council Directive 2006/112/EC,Exemptions related to international transport.
tax_exempt_VATEX_EU_148_A,VATEX-EU-148-A,"Exempt based on article 148, section (a) of Council Directive 2006/112/EC",Fuel supplies for commercial international transport vessels
tax_exempt_VATEX_EU_148_B,VATEX-EU-148-B,"Exempt based on article 148, section (b) of Council Directive 2006/112/EC",Fuel supplies for fighting ships in international transport.
tax_exempt_VATEX_EU_148_C,VATEX-EU-148-C,"Exempt based on article 148, section (c) of Council Directive 2006/112/EC","Maintenance, modification, chartering and hiring of international transport vessels."
tax_exempt_VATEX_EU_148_D,VATEX-EU-148-D,"Exempt based on article 148, section (d) of Council Directive 2006/112/EC",Supply to of other services to commercial international transport vessels.
tax_exempt_VATEX_EU_148_E,VATEX-EU-148-E,"Exempt based on article 148, section (e) of Council Directive 2006/112/EC",Fuel supplies for aircraft on international routes.
tax_exempt_VATEX_EU_148_F,VATEX-EU-148-F,"Exempt based on article 148, section (f) of Council Directive 2006/112/EC","Maintenance, modification, chartering and hiring of aircraft on international routes."
tax_exempt_VATEX_EU_148_G,VATEX-EU-148-G,"Exempt based on article 148, section (g) of Council Directive 2006/112/EC",Supply to of other services to aircraft on international routes.
tax_exempt_VATEX_EU_151,VATEX-EU-151,Exempt based on article 151 of Council Directive 2006/112/EC,Exemptions relating to certain Transactions treated as exports.
tax_exempt_VATEX_EU_151_1A,VATEX-EU-151-1A,"Exempt based on article 151, section 1 (a) of Council Directive 2006/112/EC ",The supply of goods or services under diplomatic and consular arrangements.
tax_exempt_VATEX_EU_151_1AA,VATEX-EU-151-1AA,"Exempt based on article 151, section 1 (aa) of Council Directive 2006/112/EC ","The supply of goods or services to the European Community, the European Atomic Energy Community, the European Central Bank or the European Investment Bank, or to the bodies set up by the Communities to which the Protocol of 8 April 1965 on the privileges and immunities of the European Communities applies, within the limits and under the conditions of that Protocol and the agreements for its implementation or the headquarters agreements, in so far as it does not lead to distortion of competition."
tax_exempt_VATEX_EU_151_1B,VATEX-EU-151-1B,"Exempt based on article 151, section 1 (b) of Council Directive 2006/112/EC ","The supply of goods or services to international bodies, other than those referred to in point (aa), recognised as such by the public authorities of the host Member States, and to members of such bodies, within the limits and under the conditions laid down by the international conventions establishing the bodies or by headquarters agreements."
tax_exempt_VATEX_EU_151_1C,VATEX-EU-151-1C,"Exempt based on article 151, section 1 (c) of Council Directive 2006/112/EC ","The supply of goods or services within a Member State which is a party to the North Atlantic Treaty, intended either for the armed forces of other States party to that Treaty for the use of those forces, or of the civilian staff accompanying them, or for supplying their messes or canteens when such forces take part in the common defence effort."
tax_exempt_VATEX_EU_151_1D,VATEX-EU-151-1D,"Exempt based on article 151, section 1 (d) of Council Directive 2006/112/EC ","The supply of goods or services to another Member State, intended for the armed forces of any State which is a party to the North Atlantic Treaty, other than the Member State of destination itself, for the use of those forces, or of the civilian staff accompanying them, or for supplying their messes or canteens when such forces take part in the common defence effort."
tax_exempt_VATEX_EU_151_1E,VATEX-EU-151-1E,"Exempt based on article 151, section 1 (e) of Council Directive 2006/112/EC ","The supply of goods or services to the armed forces of the United Kingdom stationed in the island of Cyprus pursuant to the Treaty of Establishment concerning the Republic of Cyprus, dated 16 August 1960, which are for the use of those forces, or of the civilian staff accompanying them, or for supplying their messes or canteens."
